,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"98,517","100,758","91,474","106,618","97,130","101,711","108,440","108,241","105,514","104,385","151,440","153,574"
02,"99,612","99,291","91,995","107,159","96,778","103,664","107,704","107,295","103,353","105,181","158,629","151,785"
03,"100,672","99,077","91,836","109,289","96,411","104,702","106,347","107,628","102,192","107,706","167,396","146,918"
04,"100,612","97,428","92,053","110,232","95,970","106,564","106,600","106,385","101,333","110,050","178,627","148,582"
05,"99,035","95,941","93,617","111,153","95,913","106,202","108,532","106,359","98,661","114,917","182,554","145,530"
06,"98,772","95,359","94,124","107,774","96,354","104,927","112,806","106,723","98,493","118,634","175,994","143,269"
07,"98,086","94,464","97,010","104,089","96,846","104,835","113,047","106,746","98,567","123,264","172,744",
08,"98,990","93,997","99,548","102,242","98,384","102,985","112,173","104,982","100,943","130,465","168,133",
09,"98,112","93,866","102,914","100,464","97,826","104,348","108,279","103,885","99,464","134,963","166,616",
10,"98,880","93,142","104,061","98,988","97,351","105,204","109,854","104,133","101,196","142,856","159,100",
11,"98,622","92,357","105,012","98,726","98,934","106,911","108,180","105,298","101,390","146,149","157,613",
12,"97,369","91,403","106,908","96,653","100,590","107,579","106,424","105,714","102,175","146,050","154,824",
