,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"99,763","100,333","102,315","102,420","100,847","100,212","101,003","102,686","104,673","104,622","109,472","121,755"
02,"100,321","101,780","102,082","101,850","102,085","98,869","101,836","103,421","104,317","104,831","111,491","123,290"
03,"99,384","101,571","102,213","101,403","102,181","99,667","101,917","102,612","104,346","104,938","110,965","123,880"
04,"99,513","101,818","102,051","101,310","99,623","99,780","102,045","102,614","104,776","104,516","113,908","124,037"
05,"99,891","101,585","102,457","102,221","99,535","99,908","102,093","102,941","104,523","104,483","114,952","124,182"
06,"99,818","100,911","102,218","102,147","99,256","100,786","101,841","102,390","103,880","105,054","115,740","124,406"
07,"99,402","101,616","102,903","101,859","99,213","100,286","102,172","102,910","104,198","104,571","116,567",
08,"99,359","101,053","101,910","101,887","99,602","100,248","101,610","103,448","104,242","104,473","116,539",
09,"99,600","102,097","101,944","101,841","99,350","100,374","101,529","102,838","104,294","104,721","118,774",
10,"99,382","102,353","101,497","101,728","99,263","100,404","102,099","102,596","104,246","105,250","118,865",
11,"99,599","102,924","101,914","101,121","99,013","100,570","102,367","102,561","104,755","105,877","118,936",
12,"99,273","102,221","101,600","101,545","99,364","100,332","102,632","102,445","104,371","106,109","119,015",
