,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,940","99,748","99,949","101,529","100,316","100,491","98,311","100,470","101,602","101,890","111,269","134,004"
02,"100,991","101,640","99,600","100,692","100,276","99,466","99,008","100,737","102,392","101,964","113,911","143,292"
03,"101,272","102,596","98,815","102,009","100,616","99,208","99,026","100,850","102,145","101,741","114,101","143,492"
04,"101,894","102,335","98,925","101,012","100,793","98,830","99,783","100,923","101,999","101,875","115,481","143,441"
05,"102,416","102,801","98,721","101,305","100,588","98,884","99,210","100,695","101,723","102,019","121,238","144,349"
06,"102,685","103,252","98,660","101,399","100,602","98,759","99,224","101,028","101,554","102,624","123,965","144,501"
07,"101,886","103,052","98,578","100,414","101,136","98,795","99,734","101,119","101,264","102,441","124,920",
08,"101,924","103,185","99,203","100,310","100,665","98,790","99,716","101,427","101,030","103,107","125,084",
09,"101,814","102,805","99,527","99,960","100,778","98,879","99,429","100,969","101,242","102,986","125,544",
10,"101,286","102,389","100,286","100,145","101,301","98,922","99,266","100,825","101,328","103,417","126,743",
11,"101,543","102,331","100,994","100,245","100,080","98,428","99,452","100,604","101,520","105,315","127,354",
12,"100,630","101,491","100,870","100,255","100,479","98,529","99,486","100,913","101,120","105,098","127,728",
