,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"105,908","109,476","96,777","91,916","76,721","95,037","100,521","92,964","93,893","109,529","140,314","144,463"
02,"106,663","108,887","95,159","92,765","76,231","96,245","99,844","98,622","90,795","117,473","144,796","139,622"
03,"108,723","107,743","88,655","98,416","80,915","97,465","96,611","100,590","82,249","124,598","150,924","134,865"
04,"103,275","103,228","88,557","100,870","78,804","94,747","98,087","100,256","84,262","130,128","155,235","132,993"
05,"104,962","101,424","91,929","101,244","77,160","94,312","100,930","94,396","85,114","138,834","145,071","125,312"
06,"102,274","96,406","91,627","95,386","77,674","91,774","104,620","93,354","89,924","129,753","141,872","128,544"
07,"105,153","96,058","94,892","91,037","82,214","95,549","96,152","93,886","94,197","131,116","119,679",
08,"103,220","97,290","95,432","84,609","79,091","96,615","91,844","89,064","93,221","130,876","128,140",
09,"104,634","96,681","97,126","85,349","77,472","96,253","91,464","93,719","96,141","129,872","128,691",
10,"106,463","95,570","96,466","85,647","78,493","104,977","95,147","91,967","96,726","140,605","128,279",
11,"106,403","94,313","97,853","83,358","93,071","95,586","97,240","93,653","99,975","141,056","131,691",
12,"108,132","98,637","95,312","79,395","92,135","102,378","94,385","96,617","106,343","141,139","129,571",
