,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"104,540","102,191","95,348","81,422","68,189","92,232","90,562","91,494","96,735","90,486","136,765","127,831"
02,"105,330","104,094","95,289","84,073","66,255","87,737","88,642","93,949","93,468","88,018","143,818","137,104"
03,"106,753","102,944","94,784","86,376","68,274","84,539","86,293","94,327","86,775","94,561","174,381","127,370"
04,"101,833","98,478","93,571","87,357","68,223","84,880","88,054","95,101","73,975","98,407","156,982","121,930"
05,"100,640","97,854","96,549","89,390","72,166","83,404","94,516","95,735","72,536","100,081","156,110","118,620"
06,"98,892","97,950","98,663","89,239","77,034","81,877","96,797","92,145","76,560","103,849","169,817","123,424"
07,"100,212","99,594","97,514","87,961","76,896","81,236","97,955","92,990","79,587","107,813","170,907",
08,"102,219","99,441","97,553","82,191","76,073","82,123","97,455","90,786","80,119","110,282","172,827",
09,"102,853","100,360","99,455","79,432","77,812","83,613","99,405","90,152","80,504","117,361","162,964",
10,"101,224","99,773","96,256","78,703","82,007","86,808","100,969","92,704","79,205","128,587","154,792",
11,"100,433","99,131","92,187","79,085","82,051","89,048","97,914","92,178","81,140","129,362","149,300",
12,"99,610","99,906","85,954","75,044","87,101","89,292","92,294","91,965","83,972","137,204","136,408",
