,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,020","99,043","99,351","98,607","100,334","101,685","102,947","102,944","106,057","107,329","109,588","116,805"
02,"100,020","98,059","99,212","98,622","100,457","101,685","102,495","103,385","106,341","107,188","110,049","116,805"
03,"100,020","99,866","99,232","98,530","100,457","101,677","102,495","103,650","106,333","107,781","110,049","116,805"
04,"100,142","105,543","99,159","98,659","100,457","101,616","102,089","103,677","106,223","107,946","110,462","116,512"
05,"100,127","105,543","99,225","99,156","100,457","101,938","102,204","103,647","106,223","107,946","110,857","117,363"
06,"100,127","105,543","99,097","99,156","100,457","103,439","102,011","105,920","106,488","107,946","110,857","118,587"
07,"100,127","105,543","99,473","99,337","100,457","102,204","102,159","105,867","106,420","107,946","112,130",
08,"100,127","103,914","99,398","99,337","100,457","102,372","102,082","105,872","106,761","107,882","112,130",
09,"100,127","100,192","99,353","99,289","100,307","102,680","102,065","105,889","106,559","107,946","112,130",
10,"100,127","98,665","99,406","99,717","100,457","102,680","102,017","105,896","106,603","108,382","114,605",
11,"99,855","98,794","99,132","99,717","100,417","102,916","102,063","105,897","106,419","108,382","114,605",
12,"98,407","98,794","98,980","99,660","100,417","101,886","102,059","105,899","106,744","108,382","116,805",
