,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"104,103","97,487","95,702","75,231","52,678","82,956","84,886","91,616","86,569","93,686","125,934","131,619"
02,"108,849","99,852","95,908","69,604","44,897","85,229","84,802","96,572","97,459","97,610","139,471","128,257"
03,"110,974","102,917","95,803","77,933","47,542","82,994","84,506","103,100","95,926","103,164","148,893","130,926"
04,"110,311","101,397","95,770","76,052","51,760","80,373","86,434","105,079","79,972","105,967","170,580","141,322"
05,"109,085","98,920","95,792","79,446","56,113","80,789","92,177","107,102","66,740","105,445","166,475","143,874"
06,"107,428","98,694","96,789","79,629","61,510","78,742","100,183","100,713","74,124","109,970","169,901","141,429"
07,"103,945","99,160","96,787","78,392","64,673","77,303","101,442","99,488","83,099","115,172","167,352",
08,"108,405","101,619","95,445","70,367","66,527","77,334","101,843","97,516","92,700","118,152","161,701",
09,"109,404","99,637","95,449","62,222","66,034","78,585","102,643","91,649","93,709","119,958","150,511",
10,"106,288","99,392","94,819","60,946","69,528","82,434","105,798","92,346","93,203","125,118","134,668",
11,"102,506","97,514","88,349","60,485","72,161","83,888","105,185","85,403","89,484","131,539","136,420",
12,"99,939","96,866","82,363","58,340","74,844","86,428","97,416","82,409","91,863","124,703","140,470",
