,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"99,443","97,328","97,475","99,707","99,698","98,551","99,580","100,154","101,757","104,484","127,231","162,018"
02,"99,973","97,699","97,561","99,479","99,124","98,569","99,354","100,435","102,425","104,860","136,914","162,853"
03,"99,358","97,436","97,807","99,559","99,019","98,690","99,591","100,833","103,285","104,805","146,268","159,225"
04,"99,378","97,185","98,326","99,669","98,485","98,444","99,546","101,059","103,298","104,222","153,254","157,917"
05,"98,579","97,276","98,823","99,550","98,536","98,605","99,059","101,213","103,553","104,437","153,484","156,416"
06,"98,731","96,748","99,388","99,714","98,613","99,130","99,398","101,395","103,600","104,579","153,970","156,136"
07,"98,668","97,440","99,352","99,629","98,828","99,298","99,764","101,395","104,390","104,779","157,390",
08,"98,370","97,726","99,609","99,715","98,550","99,100","99,484","101,635","104,447","105,115","156,739",
09,"97,802","97,893","99,527","99,636","98,442","99,094","99,579","101,724","104,655","106,861","158,370",
10,"97,987","98,426","99,783","99,535","98,522","99,310","99,738","101,737","104,441","109,165","158,516",
11,"97,600","98,156","99,660","99,445","98,476","99,538","99,759","101,986","104,378","111,635","159,589",
12,"97,473","98,384","99,867","99,535","98,405","99,417","99,844","101,846","104,329","117,097","159,248",
