,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,677","101,901","101,077","101,601","102,129","100,710","102,172","103,477","105,435","105,329","110,961","118,952"
02,"100,789","101,314","100,378","101,568","101,817","101,017","102,036","104,284","105,612","105,793","113,485","119,747"
03,"100,904","101,818","100,932","101,344","101,543","101,329","101,735","104,775","105,690","105,386","114,230","119,967"
04,"101,042","101,966","101,118","101,396","101,258","101,091","101,985","104,877","106,004","105,227","114,889","120,038"
05,"101,152","101,442","101,045","101,067","100,936","101,622","102,150","104,909","106,138","105,052","115,825","119,742"
06,"101,163","101,700","101,202","101,544","101,402","101,952","102,685","104,662","105,386","107,173","116,562","119,525"
07,"101,034","101,169","101,356","101,107","101,159","101,972","102,381","104,459","106,280","107,738","117,172",
08,"100,955","101,030","101,315","101,206","101,013","102,123","103,404","104,933","105,589","107,787","117,488",
09,"100,960","101,037","101,347","100,905","100,631","102,060","103,062","104,546","105,540","109,361","117,540",
10,"100,974","100,875","101,414","101,511","100,583","102,304","102,655","104,788","105,331","109,687","117,402",
11,"101,024","101,077","101,318","101,948","100,466","102,330","103,533","104,578","104,631","109,646","118,019",
12,"100,905","101,313","101,415","101,315","100,547","102,443","103,230","104,273","104,846","109,502","118,256",
