,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"99,372","99,987","102,185","107,286","110,376","104,269","100,277","123,271","120,625","120,383","116,350","127,886"
02,"99,559","102,667","102,078","107,595","108,389","102,791","101,525","121,975","120,218","119,779","116,174","126,800"
03,"100,365","101,072","101,952","108,840","109,913","103,102","100,250","122,599","120,276","115,235","120,297","124,186"
04,"101,168","101,862","102,456","106,690","109,027","102,503","99,714","123,000","119,719","111,778","123,728","122,771"
05,"99,275","101,821","104,222","107,502","108,437","102,359","101,665","122,360","118,367","111,050","124,153","120,273"
06,"101,483","103,294","105,748","106,345","110,842","101,968","102,664","122,676","119,107","110,649","121,411","121,138"
07,"99,666","101,331","110,315","107,797","110,802","103,223","104,786","122,933","117,702","111,490","124,778",
08,"98,281","102,330","110,048","107,252","110,122","102,967","111,696","124,608","118,785","112,545","129,389",
09,"100,666","102,666","108,533","107,237","107,911","102,205","113,332","126,600","118,107","111,971","132,084",
10,"99,787","101,129","109,036","108,819","108,378","102,767","112,282","123,157","118,992","111,929","134,438",
11,"100,506","101,504","107,481","109,102","106,130","104,249","116,070","124,056","120,982","113,180","134,378",
12,"97,711","101,244","107,849","108,904","106,224","102,492","124,338","123,560","121,978","113,052","133,718",
