,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"99,741","95,052","90,964","87,602","78,112","92,858","101,547","101,030","94,415","102,104","145,223","144,562"
02,"100,468","95,563","90,822","87,489","77,557","93,116","102,585","100,015","94,134","106,568","147,922","142,262"
03,"100,453","94,419","90,634","87,336","76,461","93,911","102,864","100,251","93,926","108,389","158,279","144,306"
04,"100,228","93,557","90,460","87,840","80,145","94,342","102,432","100,247","93,095","110,033","174,557","140,510"
05,"99,742","94,480","90,126","86,556","85,498","93,248","101,413","99,344","91,392","116,624","180,533","138,918"
06,"98,676","92,032","89,652","87,076","86,616","92,963","101,078","98,823","90,440","123,879","171,302","136,775"
07,"98,248","91,054","89,770","87,077","87,950","93,144","101,547","97,624","90,048","132,739","160,528",
08,"96,506","91,137","89,126","85,850","85,777","94,056","101,723","97,288","90,349","134,906","158,013",
09,"96,140","91,057","89,339","83,908","86,084","96,729","101,805","96,063","90,574","137,780","159,945",
10,"94,825","91,946","89,986","81,550","85,091","97,870","102,571","94,518","91,939","137,994","157,204",
11,"94,477","91,521","89,009","78,287","86,025","98,765","101,566","92,461","91,961","138,544","150,449",
12,"95,062","90,813","87,696","78,288","88,804","99,847","100,693","92,487","94,834","140,331","146,047",
