,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,045","102,187","102,289","102,201","103,640","103,370","104,574","105,449","104,344","104,906","123,274","129,830"
02,"100,689","102,279","102,590","101,941","103,566","103,627","104,833","105,395","104,479","106,081","124,403","130,135"
03,"101,025","102,268","101,993","102,041","103,360","104,123","104,886","105,260","104,355","108,768","126,305","129,817"
04,"101,585","102,486","102,641","102,563","103,403","103,997","104,709","105,239","104,153","110,728","131,723","129,718"
05,"101,623","102,309","102,904","103,282","103,546","104,069","105,124","105,075","103,924","113,229","133,495","129,706"
06,"101,418","102,187","103,304","103,825","103,667","104,017","105,035","105,202","103,844","114,242","134,084","129,171"
07,"101,124","102,072","103,396","104,239","103,653","104,336","105,206","105,109","103,773","115,293","130,574",
08,"101,026","101,851","103,296","104,311","103,476","104,010","105,231","105,274","103,910","115,802","130,415",
09,"101,467","102,095","103,017","104,240","103,198","103,932","105,223","104,951","103,982","116,736","130,656",
10,"101,670","102,121","102,845","103,677","103,309","104,166","105,257","104,654","104,167","117,276","130,356",
11,"101,686","102,316","102,734","103,732","103,251","104,069","105,128","104,972","104,158","118,284","130,301",
12,"101,700","102,508","102,925","103,651","103,287","104,178","105,103","104,257","104,311","119,658","129,200",
