,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"100,916","102,387","102,455","102,288","101,233","103,182","104,266","106,900","105,621","104,702","123,309","135,185"
02,"99,366","102,628","101,911","102,594","100,710","103,155","104,491","106,756","105,043","105,116","124,361","135,165"
03,"100,154","102,703","102,096","102,297","101,704","103,044","105,190","107,400","104,141","106,337","127,271","134,383"
04,"100,067","102,568","102,655","102,117","100,942","103,448","105,100","107,445","104,037","107,150","129,108","133,113"
05,"99,942","102,512","102,868","101,800","100,435","103,339","105,542","107,255","103,525","107,875","132,863","131,854"
06,"101,870","102,095","102,526","101,376","102,176","103,190","105,118","106,654","104,957","108,488","134,892","131,390"
07,"102,275","101,822","102,180","101,988","101,613","103,723","104,813","107,138","104,358","110,165","136,304",
08,"102,374","102,146","102,056","101,356","101,963","103,896","105,632","106,500","103,838","112,189","136,104",
09,"102,313","101,908","102,904","101,496","101,788","103,919","106,244","106,411","104,008","112,111","136,333",
10,"101,352","102,086","102,320","101,265","102,199","103,443","106,118","106,557","104,227","114,338","136,318",
11,"101,240","101,136","101,796","101,034","102,273","103,449","105,609","106,581","104,193","119,867","137,021",
12,"101,266","101,803","101,939","100,676","102,656","104,051","106,496","106,340","104,280","120,719","136,522",
