,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,"102,073","101,180","105,426","106,774","108,029","108,307","108,665","109,723","109,719","111,574","125,800","142,583"
02,"100,181","102,017","105,782","106,132","107,822","110,446","106,417","110,509","110,106","112,078","125,448","143,528"
03,"101,467","102,563","105,402","107,700","107,448","108,778","106,567","109,939","109,398","111,946","127,141","144,972"
04,"99,421","101,720","105,605","107,539","108,049","109,211","106,749","110,360","108,539","112,613","134,114","144,349"
05,"100,210","101,928","105,071","107,198","108,252","106,581","108,745","110,333","108,357","112,400","132,881","145,797"
06,"98,681","103,497","105,945","108,143","108,239","108,438","108,677","110,348","110,947","113,763","133,001","145,974"
07,"100,432","103,454","105,509","108,412","109,703","109,096","109,327","109,962","110,854","114,106","133,061",
08,"101,040","105,347","104,361","109,307","107,733","110,257","109,663","109,884","110,780","113,155","134,155",
09,"99,117","105,913","105,104","109,073","108,669","108,504","108,857","109,963","111,119","115,894","137,038",
10,"100,313","106,172","106,179","107,469","107,042","109,481","109,608","109,841","111,205","117,603","140,427",
11,"100,017","106,250","105,792","108,354","107,436","111,191","109,592","109,729","110,996","120,294","139,010",
12,"101,959","105,606","104,712","109,605","107,720","107,602","111,095","110,486","111,577","121,397","139,220",
